SCAN	FA	MD	L1	RD	DIAM	DENS
t1	7.05E-01	6.95E-01	1.39E+00	3.50E-01	1.22E+01	3.06E-02
t1	6.55E-01	7.26E-01	1.37E+00	4.01E-01	1.17E+01	3.21E-02
t1	5.53E-01	8.48E-01	1.45E+00	5.47E-01	1.23E+01	2.89E-02
t1	4.74E-01	9.57E-01	1.51E+00	6.78E-01	1.34E+01	2.07E-02
t1	6.18E-01	7.83E-01	1.42E+00	4.66E-01	1.22E+01	3.00E-02
t1	6.23E-01	8.42E-01	1.53E+00	4.96E-01	1.10E+01	3.44E-02
t1	6.63E-01	8.15E-01	1.55E+00	4.50E-01	1.10E+01	3.57E-02
t1	7.28E-01	7.30E-01	1.48E+00	3.53E-01	1.13E+01	3.61E-02
t1	7.49E-01	7.05E-01	1.47E+00	3.24E-01	1.09E+01	3.90E-02
t1	7.75E-01	6.59E-01	1.41E+00	2.82E-01	1.11E+01	3.78E-02
t1	7.74E-01	6.42E-01	1.37E+00	2.76E-01	1.12E+01	3.82E-02
t1	6.72E-01	7.72E-01	1.48E+00	4.17E-01	1.12E+01	3.66E-02
t1	5.97E-01	8.74E-01	1.56E+00	5.32E-01	1.11E+01	3.61E-02
t1	6.09E-01	8.00E-01	1.44E+00	4.79E-01	1.15E+01	3.46E-02
t1	6.42E-01	6.71E-01	1.25E+00	3.81E-01	1.24E+01	3.14E-02
t1	5.86E-01	6.41E-01	1.13E+00	3.96E-01	1.29E+01	2.97E-02
t1	4.35E-01	7.11E-01	1.09E+00	5.22E-01	1.23E+01	3.01E-02
t1	4.07E-01	8.80E-01	1.31E+00	6.65E-01	1.26E+01	2.94E-02
t1	5.71E-01	7.14E-01	1.24E+00	4.49E-01	1.18E+01	3.45E-02
t1	6.63E-01	6.52E-01	1.24E+00	3.56E-01	1.17E+01	3.50E-02
t1	6.78E-01	6.75E-01	1.31E+00	3.60E-01	1.18E+01	3.54E-02
t1	6.65E-01	7.23E-01	1.38E+00	3.94E-01	1.22E+01	3.23E-02
t1	6.88E-01	6.92E-01	1.36E+00	3.61E-01	1.26E+01	3.06E-02
t1	7.06E-01	6.49E-01	1.29E+00	3.26E-01	1.27E+01	2.91E-02
t1	6.13E-01	7.58E-01	1.38E+00	4.49E-01	1.23E+01	2.88E-02
